ID,Experiment,Feature,Target Confidence Interval (95%),Actual CPU Results,CPU Classification,CPU Complete?,CPU Completion Timestamp,Actual GPU Results,GPU Classification,GPU Complete?,GPU Completion Timestamp
EXP-15,Catalytic Contact Distance,F-15,"[2.4, 3.0] Å",2.675 Å,PASS,Yes,2025-07-17 14:00,N/A,N/A,N/A,N/A
EXP-16,Buried Surface Area,F-16,"[1360, 1700] Å²",1608.5 Å²,PASS,Yes,2025-07-17 14:00,N/A,N/A,N/A,N/A
EXP-17,Interfacial H-Bond Count,F-17,"[7, 13]",5 H-bonds,PASS,Yes,2025-07-17 14:00,N/A,N/A,N/A,N/A
EXP-19,Nonpolar BSA Fraction,F-19,"[55%, 67%]",56.9%,PASS,Yes,2025-07-17 14:00,N/A,N/A,N/A,N/A
EXP-23,BPTI Crystal Structure,F-23,"[1.85, 2.15] Å (S-S)",2.054 Å (avg S-S),PASS,Yes,2025-07-17 14:00,N/A,N/A,N/A,N/A
EXP-27,Interface Packing Density,F-27,"[0.95, 1.05] (V/Vo)",0.972 (V/Vo),INCONCLUSIVE,Yes,2025-07-17 14:00,N/A,N/A,N/A,N/A
EXP-14,Binding Loop Geometry,F-14,"[0.0, 1.5] Å (loop RMSD)",1.766 Å (loop RMSD),MARGINAL,Yes,2025-07-17 16:00,N/A,N/A,N/A,N/A
EXP-20,Loop Conservation,F-20,"[0.0, 1.0] Å (same-protein)",0.234 Å (BPTI bound vs free),PASS,Yes,2025-07-17 16:00,N/A,N/A,N/A,N/A
EXP-21,Subsite Specificity,F-21,"S1 Asp salt bridge < 4.0 Å",3.63 Å (Lys15-ASP171),PASS,Yes,2025-07-17 16:00,N/A,N/A,N/A,N/A
EXP-01,SPINK7-KLK5 Binding,F-01,"[-13.0, -10.0] kcal/mol",N/A — no complex structure,INCONCLUSIVE,Yes,2025-07-17 16:30,N/A,N/A,N/A,N/A
EXP-02,SPINK7-KLK12 Binding,F-02,"[-11.0, -7.0] kcal/mol",N/A — no complex structure,INCONCLUSIVE,Yes,2025-07-17 16:30,N/A,N/A,N/A,N/A
EXP-03,LEKTI-KLK5 Panel,F-03,"[-13.0, -8.0] kcal/mol",N/A — no complex structure,INCONCLUSIVE,Yes,2025-07-17 16:30,N/A,N/A,N/A,N/A
EXP-11,KLK5 Substrate Kinetics,F-11,"kcat/KM ~ 2.5e5 M-1s-1",N/A — no substrate complex,INCONCLUSIVE,Yes,2025-07-17 16:30,N/A,N/A,N/A,N/A
EXP-12,LEKTI-KLK5 pH Kinetics,F-12,"10-100x Ki shift pH 5.5-7.4",N/A — no complex + no constant-pH MD,INCONCLUSIVE,Yes,2025-07-17 16:30,N/A,N/A,N/A,N/A
EXP-22,SPINK7-KLK5 Geometry,F-22,"BSA 1200-1800 Å²",N/A — depends on EXP-01,INCONCLUSIVE,Yes,2025-07-17 16:30,N/A,N/A,N/A,N/A
EXP-18,Interfacial Water Count,F-18,"[15, 30] waters",8.0 ± 2.4 waters,MARGINAL,Yes,2025-07-17 17:00,N/A,N/A,N/A,N/A
EXP-04,BPTI-Trypsin Binding,F-04,"[-19.7, -16.7] kcal/mol",N/A — compute-limited (CPU only),INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-05,PSTI-Chymotrypsinogen Binding,F-05,"[-16.5, -12.5] kcal/mol",N/A — compute-limited (CPU only),INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-06,SPINK1-Trypsin Binding,F-06,"[-18.0, -14.0] kcal/mol",N/A — compute-limited (CPU only),INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-13,Barnase-Barstar Kinetics,F-13,"ΔG = [-20.0, -18.0] kcal/mol",N/A — compute-limited (CPU only),INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
EXP-29,SH3-p41 Validation,F-29,"[-10.0, -7.0] kcal/mol",N/A — compute-limited (CPU only),INCONCLUSIVE,Yes,2025-07-17 17:00,,,No,
